Sl no.,Hotel Name,PartnerRef,POS,Bid CPC,Opportunity CPC,Hotel Impr,Clicks,Cost,Avg. CPC,Top Pos Share,Impr Share,Outbid Ratio,Beat,Meet,Lose,Unavailability,Max Potential,Bookings,Booking Rate,CPA,Gross Rev,ABV,Booking Value Index,Net Rev,Net Rev/Click,Profit,ROAS,Margin,Region,Country,City,Stars,Rating
174,OYO 8169 Hotel Salem Castle,SLM009,IN,0.28,0.45,7877,143,48.39,0.34,0.9548,0.9575,0,0.9524,0,0.0051,0.0425,6142,4,0.028,0.204,237.25,59.31,Average,0,0,-48.39,0,0,Tamil Nadu,India,Salem,3,82.75
175,OYO 15982 Hotel Samrat Palace,LNL055,IN,0.11,0.13,4652,142,18.62,0.13,0.9347,0.9364,0.0009,0.931,0.0002,0.0052,0.0636,3723,2,0.0141,0.8294,22.45,11.22,Low,0,0,-18.62,0,0,Maharashtra,India,Lonavala,3,82.07
176,OYO 16719 Airport Guest House,GHY214,IN,0.19,0.34,1806,142,32.5,0.23,0.7658,0.943,0,0.392,0,0.5509,0.057,1217,8,0.0563,0.2658,122.26,15.28,Average,2.12,0.01,-30.38,0.0652,0.0173,Assam,India,Guwahati,3,86
177,OYO 10389 Latanand Residency,MBL042,IN,0.12,0.51,16183,141,20.98,0.15,0.0669,0.9506,0.0005,0.1213,0.0009,0.8286,0.0492,13510,2,0.0142,0.3865,54.28,27.14,Low,0,0,-20.98,0,0,Maharashtra,India,Mahabaleshwar,3,82.64
178,OYO 10644 M S Holiday Resort,MNR132,IN,0.24,0.32,9145,141,46.34,0.33,0.712,0.9645,0.0002,0.0986,0.0001,0.8659,0.0353,7989,9,0.0638,0.3753,123.49,13.72,Above Average,0,0,-46.34,0,0,Kerala,India,Munnar,3,88.39
179,OYO 8923 Kemp's Cave,OTY079,IN,0.17,0.23,14370,140,41.63,0.3,0.3635,0.9315,0.0005,0.1008,0.0001,0.8312,0.068,12722,3,0.0214,0.7593,54.83,18.28,Below Average,0,0,-41.63,0,0,Tamil Nadu,India,Udhagamandalam,3,81.74
180,OYO Flagship 400 Calangute Baga Circle,GOA400,IN,0.14,0.35,26030,140,30.02,0.21,0.155,0.8572,0,0.1226,0,0.7345,0.1428,18851,2,0.0143,0.4875,61.58,30.79,Below Average,0,0,-30.02,0,0,Goa,India,Calangute,3,85.01
181,OYO 14870 The Gir Harmony Hotel,GIR006,IN,0.13,0.15,5555,140,18.61,0.13,0.2266,0.9089,0,0.8434,0.0002,0.0653,0.0911,2807,0,0,,0,,Low,0,0,-18.61,0,,Gujarat,India,Sasan Gir,3,84.59
182,OYO 7585 The Stay Inn,VSK077,IN,0.22,0.3,13499,140,37.27,0.27,0.4261,0.9204,0.0003,0.0491,0.0007,0.8709,0.0793,11400,5,0.0357,0.05,745.59,149.12,Average,63.72,0.46,26.45,1.7097,0.0855,Andhra Pradesh,India,Visakhapatnam,3,83.66
183,OYO 14126 Vizag Grand,VSK131,IN,0.11,0.46,15739,140,43.58,0.31,0.3464,0.9106,0,0.133,0.0017,0.7759,0.0894,13341,3,0.0214,0.9891,44.06,14.69,Low,1.69,0.01,-41.89,0.0388,0.0384,Andhra Pradesh,India,Visakhapatnam,3,87.69
184,OYO 11855 Phoenix Hotel,MUM644,IN,0.21,0.22,5100,140,26.31,0.19,0.9822,0.9841,0.0014,0.1953,0.0008,0.788,0.0159,4517,7,0.05,0.1745,150.77,21.54,Above Average,0,0,-26.31,0,0,Maharashtra,India,Panvel,3,84.87
185,OYO 4164 Hotel Shivam Elite,UJJ035,IN,0.18,0.28,10211,139,45.4,0.33,0.0886,0.8788,0.0004,0.0805,0.0025,0.7961,0.1209,4950,7,0.0504,0.1196,379.63,54.23,Below Average,5.48,0.04,-39.92,0.1207,0.0144,Madhya Pradesh,India,Ujjain,3,87.52
186,Capital O 14448 Hotel Sapphire Star,IND003,IN,0.32,0.35,4745,139,42.85,0.31,0.909,0.9273,0,0.8942,0,0.0331,0.0727,3688,1,0.0072,1.9719,21.73,21.73,Below Average,0,0,-42.85,0,0,Madhya Pradesh,India,Indore,4,82.75
187,OYO 10984 Lagom Comfort,GOA1178,IN,0.21,0.26,3648,139,25.74,0.19,0.7267,0.8199,0,0.6516,0.0005,0.1678,0.1801,2363,6,0.0432,0.0844,304.88,50.81,Above Average,0,0,-25.74,0,0,Goa,India,Anjuna,3,86.84
188,OYO 10142 Retreat Morjim Resort,GOA1073,IN,0.18,0.28,6901,138,33.85,0.25,0.8367,0.8631,0,0.747,0,0.1161,0.1369,4998,2,0.0145,0.6375,53.1,26.55,Average,0,0,-33.85,0,0,Goa,India,Velha Goa,3,80.8
189,OYO 926 Hotel Nanda,LDH004,IN,0.21,0.29,7695,138,44.29,0.32,0.5194,0.9387,0.0003,0.5446,0.0001,0.394,0.0612,5861,4,0.029,0.4396,100.74,25.18,Below Average,3.86,0.03,-40.43,0.0872,0.0383,Punjab,India,Ludhiana,3,78.38
190,OYO 15080 Aman Inn Guest House,NOD346,IN,0.21,0.25,1889,138,33.86,0.25,0.9291,0.9423,0.0006,0.8883,0,0.054,0.0577,1279,5,0.0362,0.2103,161.03,32.21,Average,8.4,0.06,-25.46,0.2481,0.0522,Uttar Pradesh,India,Greater Noida,3,86.6
191,OYO 12973 Hotel Crystal,WAR010,IN,0.15,0.22,1629,138,25.12,0.18,0.8699,0.9091,0,0.6083,0.0037,0.2971,0.0909,736,3,0.0217,0.3811,65.91,21.97,Below Average,0,0,-25.12,0,0,Andhra Pradesh,India,Warangal,3,80.77
192,OYO 14197 Curlies Zulu Land Cottages,GOA1532,IN,0.21,0.26,2341,137,24.15,0.18,0.947,0.95,0.0004,0.9047,0,0.0453,0.05,1843,2,0.0146,0.1704,141.71,70.86,Average,0,0,-24.15,0,0,Goa,India,Anjuna,3,87.89
193,OYO Flagship 568 Bandra Mumbai,MUM568,IN,0.47,0.55,15065,137,70.51,0.51,0.4171,0.9245,0.0003,0.0572,0.0002,0.8674,0.0753,10339,10,0.073,0.0963,731.84,73.18,High,0,0,-70.51,0,0,Maharashtra,India,Mumbai,3,82.76
194,OYO 11914 Pratap Heritage,MBL052,IN,0.15,0.22,20068,137,35.48,0.26,0.3197,0.909,0,0.3235,0.0008,0.5847,0.091,15850,2,0.0146,1.7435,20.35,10.18,Above Average,0,0,-35.48,0,0,Maharashtra,India,Mahabaleshwar,3,80.58
195,OYO 13399 Alakananda Niwas,GHY182,IN,0.14,0.22,6886,137,41.79,0.31,0.9689,0.9907,0,0.7708,0.0012,0.2187,0.0093,6340,5,0.0365,0.3466,120.58,24.12,Average,5.5,0.04,-36.29,0.1316,0.0456,Assam,India,Guwahati,3,90.68
196,OYO 3422 Hotel Golden Berry,ABU011,IN,0.11,0.38,24967,137,22.81,0.17,0.168,0.8965,0.0022,0.3711,0.0002,0.5257,0.103,14641,0,0,,0,,Low,0,0,-22.81,0,,Rajasthan,India,Mount Abu,3,82.21
197,OYO 14943 Shubh Suvidha,SOM014,IN,0.11,0.34,8262,136,15.22,0.11,0.1914,0.9219,0.0014,0.259,0.0007,0.6624,0.0778,5188,2,0.0147,0.7428,20.49,10.24,Low,3.07,0.02,-12.15,0.2017,0.1498,Gujarat,India,Somnath,3,80.39
198,OYO 2572 Vijay Nagar,IND030,IN,0.21,0.22,3207,136,24.96,0.18,0.4316,0.8534,0.0004,0.3411,0,0.5126,0.1462,2034,7,0.0515,0.0579,431.07,61.58,Below Average,0,0,-24.96,0,0,Madhya Pradesh,India,Indore,3,82.73
199,OYO 3033 Radiant Hotel,HRD035,IN,0.15,0.36,16626,136,35.72,0.26,0.0753,0.9472,0.0004,0.0619,0.0001,0.8856,0.0524,9738,4,0.0294,0.4731,75.5,18.88,Low,2.99,0.02,-32.73,0.0837,0.0396,Uttarakhand,India,Haridwar,3,82
200,OYO 15599 Reem Residency,KOC314,IN,0.21,0.28,2339,135,33.97,0.25,0.9624,0.9628,0,0.7627,0.0013,0.1988,0.0372,1634,10,0.0741,0.2702,125.73,12.57,Above Average,1.47,0.01,-32.5,0.0433,0.0117,Kerala,India,Kochi,3,82.99
201,OYO 14574 Hotel Yadu Residency,MRT022,IN,0.21,0.22,4582,135,25.44,0.19,0.8562,0.9622,0,0.5356,0.0055,0.4212,0.0378,3992,7,0.0519,0.1735,146.65,20.95,Above Average,0,0,-25.44,0,0,Uttar Pradesh,India,Meerut,3,79.21
202,OYO 6739 Home Stay near Tito's Lane,GOA446,IN,0.11,0.2,4315,135,21.82,0.16,0.9015,0.9414,0.0002,0.2674,0.0005,0.6737,0.0584,3323,2,0.0148,0.309,70.62,35.31,Above Average,0,0,-21.82,0,0,Goa,India,Velha Goa,3,87.39
203,OYO 13931 Hotel Neeta's Inn,LNL046,IN,0.11,0.12,2715,134,13.43,0.1,0.9945,0.9945,0.3184,0.9945,0,0.0007,0.0048,2563,7,0.0522,0.0809,166.01,23.72,Above Average,2.43,0.02,-11,0.1809,0.0146,Maharashtra,India,Lonavala,3,87.28
204,OYO 13414 Hotel Ambrosia,IND013,IN,0.66,0.81,6635,134,54.31,0.41,0.7063,0.9234,0,0.2936,0.0003,0.6295,0.0766,4972,9,0.0672,0.0809,670.94,74.55,High,21.55,0.16,-32.76,0.3968,0.0321,Madhya Pradesh,India,Indore,3,80
205,OYO 10226 Hotel 7 Sandz,BBS177,IN,0.21,0.23,15146,134,54.94,0.41,0.1367,0.9539,0.0003,0.1361,0.0007,0.8174,0.0458,9980,5,0.0373,0.3809,144.25,28.85,Below Average,0,0,-54.94,0,0,Odisha,India,Bhubaneswar,3,85.5
206,OYO 15152 Raghusheela Cottage,ALB019,IN,0.11,0.13,6855,134,13.45,0.1,0.9138,0.9155,0.0006,0.9135,0,0.002,0.0845,6143,1,0.0075,0.1934,69.53,69.53,Low,0,0,-13.45,0,0,Maharashtra,India,Alibaug,3,86.46
207,OYO Townhouse 016 International Airport,MUM562,IN,0.3,0.31,5475,133,41.54,0.31,0.421,0.8493,0,0.2225,0.0005,0.6263,0.1507,3538,4,0.0301,0.1169,355.36,88.84,High,0,0,-41.54,0,0,Maharashtra,India,Mumbai,4,86.43
208,OYO 11015 Hotel Airside,MUM633,IN,0.27,0.32,62260,133,42.4,0.32,0.0186,0.9347,0.0004,0.0639,0.0004,0.8707,0.065,55134,8,0.0602,0.238,178.13,22.27,Low,2.81,0.02,-39.59,0.0663,0.0158,Maharashtra,India,Mumbai,3,82.4
209,OYO 14671 Sri Sai Regency,HYD583,IN,0.3,0.44,5591,133,51.79,0.39,0.8192,0.9127,0,0.7816,0,0.1311,0.0873,4252,4,0.0301,0.4093,126.52,31.63,Average,0,0,-51.79,0,0,Telangana,India,Hyderabad,3,84.06
210,OYO 15592 Inn The Wild Resort,CRT058,IN,0.11,0.14,3383,133,19.47,0.15,0.9808,0.9814,0.0027,0.9811,0,0.0003,0.0186,3020,2,0.015,0.4565,42.65,21.32,Low,2.7,0.02,-16.77,0.1387,0.0633,Uttarakhand,India,Ramnagar,3,89.44
211,OYO 12334 Hotel Sikkim Villa,GTK150,IN,0.19,0.24,13181,132,40.53,0.31,0.3029,0.9137,0.0006,0.2784,0.0004,0.6355,0.0857,10057,2,0.0152,0.6895,58.78,29.39,Below Average,0,0,-40.53,0,0,Sikkim,India,Gangtok,3,80.21
212,OYO 990 Hotel Paradise,CHA023,IN,0.25,0.39,16373,132,69.52,0.53,0.5988,0.967,0,0.8635,0.0001,0.1033,0.033,13232,4,0.0303,0.7052,98.58,24.64,Average,0,0,-69.52,0,0,Punjab,India,Chandigarh,3,84.02
